onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.07879999999999	0	act	0.46	7	right	err	0.51	2.56
13.6388	0	act-bad	0.64	8	left	cor	0.79	3.58
22.8614	0	act	0.46	8	left	cor	0.63	4.06
31.9808	0	act	0.4	7	right	err	0.61	2.82
41.94	0	act-bad	0.54	8	right	cor	0.68	5.36
51.4606	0	act	0.44	8	right	cor	0.82	3.64
61.48	0	act	0.42	7	left	cor	0.96	1.92
70.4772	0	act	0.42	7	right	err	0.76	1.26
80.1332	0	act	0.46	8	left	cor	0.69	2.98
89.5772	0	act	0.44	8	left	cor	0.76	2.46
98.8374	0	act	0.38	7	left	cor	0.8	4.4
108.2168	0	act	0.48	7	right	err	0.48	2.56
121.9166	0	obs	0.4	7	right	err	0.5	2.6
131.8788	0	obs	0.46	8	left	cor	0.72	4.24
140.9942	0	obs-bad	0.54	8	right	cor	0.55	2.88
150.5154	0	obs	0.46	7	right	err	0.41	2.76
160.0756	0	obs	0.48	7	right	err	0.46	2.52
169.7782	0	obs	0.44	8	left	cor	0.9	1.8
179.039	0	obs-bad	0.64	8	left	cor	0.95	3.9
188.2552	0	obs	0.46	8	left	cor	0.99	3.58
197.6952	0	obs	0.42	7	right	err	0.97	0.86
207.3576	0	obs	0.44	8	right	cor	0.46	1.06
217.374	0	obs	0.42	7	left	cor	0.97	1.94
226.3744	0	obs	0.38	7	left	cor	1	0.8
239.757	0	act	0.4	8	left	cor	0.85	1.3
249.0542	0	act	0.42	8	left	cor	0.87	1.34
258.0936	0	act	0.44	7	left	cor	0.76	2.32
267.4342	0	act	0.36	7	right	cor	0.6	4.78
277.1734	0	act	0.44	6	right	err	0.48	0.96
286.953	0	act	0.4	7	right	err	0.13	2.52
296.8732	0	act	0.42	8	left	cor	0.77	3.54
306.3556	0	act	0.38	8	right	err	0.15	1.1
316.233	0	act	0.5	9	right	cor	0.87	2.54
325.8554	0	act	0.42	9	left	cor	0.95	2.7
334.9326	0	act	0.44	8	left	cor	0.42	0.74
344.092	0	act	0.4	8	right	cor	0.5	2.58
357.9346	0	obs	0.38	8	right	err	0.22	1.24
367.812	0	obs	0.42	8	left	cor	0.51	2.56
376.8494	0	obs	0.44	6	right	err	0.4	0.8
386.632	0	obs	0.4	8	left	cor	0.64	2.3
395.9344	0	obs	0.44	7	left	cor	0.51	1.82
405.2714	0	obs	0.4	7	right	err	0.41	1.96
415.194	0	obs	0.4	8	right	cor	0.47	2.64
425.0314	0	obs	0.42	8	left	cor	0.42	1.14
434.5138	0	obs	0.44	8	left	cor	0.75	3.1
443.6712	0	obs	0.36	7	right	cor	0.46	2.92
453.4134	0	obs	0.42	9	left	cor	0.97	2.74
462.4908	0	obs	0.5	9	right	cor	0.5	1.8
